Calculated using 1 exponential

Prompt data : Prompt
Decay data : q0.01

The initial parameters are:

 Shift Value = 0 ch
               0 sec
 Shift Limit = 600 ch
               3.292181E-08 sec

 T1 Estimate = 198.9417 ch
               1.091587E-08 sec

 A Free
 B1 Free

 Prompt and decay LO = 2 ch
                       1.097394E-10 sec
 Prompt and decay HI = 4096 ch
                       2.247462E-07 sec

 Background on prompt = 0.2075472
 Time calibration = 5.486969E-11 sec/ch
---------------------------------------------
The fitted parameters are:

 Hi reduced to: 3496 ch

 SHIFT = -0.2209551 ch
         -1.212373E-11 sec
         S.Dev = 6.627554E-12 sec

 T1 = 178.4492 ch
      9.79145E-09 sec
      S.Dev = 3.130236E-11 sec

 A  = 0.4327375
      S.Dev = 2.176531E-02

 B1 = 3.954883E-02
      [100.00 Rel.Ampl]
      S.Dev = 9.76751E-05

 CHISQ = 1.289603
 [ 3491 degrees of freedom ]

 Chi-squared Probability = 1.9288E-20%
 Durbin-Watson Parameter =   1.053483
 Negative residuals      =   45.00715%
 Residuals < 1 s.dev     =   77.25322%
 Residuals < 2 s.dev     =   96.33762%
 Residuals < 3 s.dev     =   98.54077%
 Residuals < 4 s.dev     =   99.02718%


Chan	Prompt	Decay	Fit	Residuals
141	0	0	0.4578943	-0.4578943
142	0	1	0.4577537	0.5422463
143	0	0	0.4576139	-0.4576139
144	0	0	0.4574749	-0.4574749
145	0	1	0.4573367	0.5426633
146	0	0	0.4571992	-0.4571992
147	0	1	0.4570625	0.5429375
148	0	0	0.4569266	-0.4569266
149	0	1	0.4567914	0.5432086
150	0	1	0.456657	0.543343
151	0	0	0.4565233	-0.4565233
152	0	0	0.4563904	-0.4563904
153	0	1	0.4562582	0.5437418
154	0	0	0.4561268	-0.4561268
155	0	0	0.4559961	-0.4559961
156	0	0	0.4558661	-0.4558661
157	0	1	0.4557369	0.5442631
158	0	0	0.4556083	-0.4556083
159	0	0	0.4554805	-0.4554805
160	0	1	0.4553534	0.5446466
161	0	1	0.4552271	0.5447729
162	0	1	0.4551014	0.5448986
163	0	0	0.4549764	-0.4549764
164	0	1	0.4548521	0.5451479
165	0	0	0.4547286	-0.4547286
166	0	0	0.4546057	-0.4546057
167	0	0	0.4544835	-0.4544835
168	0	0	0.4543619	-0.4543619
169	0	2	0.4542411	1.093017
170	0	0	0.4541209	-0.4541209
171	0	1	0.4540015	0.5459986
172	0	0	0.4538826	-0.4538826
173	0	0	0.4537645	-0.4537645
174	0	1	0.453647	0.546353
175	0	0	0.4535301	-0.4535301
176	0	2	0.4534139	1.093601
177	0	0	0.4532984	-0.4532984
178	0	0	0.4531835	-0.4531835
179	0	1	0.4530692	0.5469308
180	0	1	0.4529556	0.5470444
181	0	0	0.4528426	-0.4528426
182	0	0	0.4527303	-0.4527303
183	0	2	0.4526185	1.094164
184	0	0	0.4525074	-0.4525074
185	0	2	0.452397	1.094321
186	0	1	0.4522871	0.5477129
187	0	1	0.4521779	0.5478221
188	0	0	0.4520692	-0.4520692
189	0	0	0.4519612	-0.4519612
190	0	0	0.4518538	-0.4518538
191	0	1	0.4517469	0.5482531
192	0	0	0.4516407	-0.4516407
193	0	0	0.4515351	-0.4515351
194	0	0	0.4514301	-0.4514301
195	0	1	0.4513256	0.5486744
196	0	0	0.4512217	-0.4512217
197	0	0	0.4511184	-0.4511184
198	0	0	0.4510157	-0.4510157
199	0	0	0.4509135	-0.4509135
200	0	0	0.450812	-0.450812
201	0	0	0.450711	-0.450711
202	0	0	0.4506105	-0.4506105
203	0	0	0.4505107	-0.4505107
204	0	0	0.4504113	-0.4504113
205	0	0	0.4503126	-0.4503126
206	0	0	0.4502144	-0.4502144
207	0	0	0.4501167	-0.4501167
208	0	1	0.4500196	0.5499804
209	0	0	0.449923	-0.449923
210	0	1	0.449827	0.550173
211	0	0	0.4497315	-0.4497315
212	0	0	0.4496365	-0.4496365
213	0	0	0.4495421	-0.4495421
214	0	0	0.4494482	-0.4494482
215	0	0	0.4493548	-0.4493548
216	0	0	0.4492619	-0.4492619
217	0	0	0.4491696	-0.4491696
218	0	1	0.4490778	0.5509223
219	0	0	0.4489865	-0.4489865
220	0	0	0.4488957	-0.4488957
221	0	0	0.4488054	-0.4488054
222	0	0	0.4487156	-0.4487156
223	0	1	0.4486263	0.5513737
224	0	0	0.4485375	-0.4485375
225	0	2	0.4484492	1.097112
226	0	0	0.4483614	-0.4483614
227	0	0	0.4482741	-0.4482741
228	0	0	0.4481873	-0.4481873
229	0	0	0.4481009	-0.4481009
230	0	0	0.4480151	-0.4480151
231	0	0	0.4479297	-0.4479297
232	0	0	0.4478448	-0.4478448
233	0	2	0.4477604	1.097599
234	0	1	0.4476765	0.5523236
235	0	0	0.4475929	-0.4475929
236	0	1	0.4475099	0.5524901
237	0	2	0.4474274	1.097835
238	0	0	0.4473453	-0.4473453
239	0	1	0.4472637	0.5527363
240	0	0	0.4471825	-0.4471825
241	0	1	0.4471018	0.5528982
242	0	0	0.4470215	-0.4470215
243	0	0	0.4469417	-0.4469417
244	0	1	0.4468623	0.5531377
245	0	0	0.4467834	-0.4467834
246	0	0	0.4467049	-0.4467049
247	0	1	0.4466268	0.5533732
248	0	0	0.4465492	-0.4465492
249	0	0	0.446472	-0.446472
250	0	2	0.4463953	1.098564
251	0	1	0.446319	0.553681
252	0	1	0.4462431	0.553757
253	0	0	0.4461676	-0.4461676
254	0	0	0.4460925	-0.4460925
255	0	0	0.4460179	-0.4460179
256	0	0	0.4459437	-0.4459437
257	0	1	0.4458699	0.5541301
258	0	2	0.4457965	1.098988
259	0	1	0.4457235	0.5542765
260	0	0	0.445651	-0.445651
261	0	1	0.4455788	0.5544212
262	0	0	0.445507	-0.445507
263	0	0	0.4454357	-0.4454357
264	0	1	0.4453647	0.5546353
265	0	1	0.4452942	0.5547059
266	0	0	0.445224	-0.445224
267	0	1	0.4451542	0.5548458
268	0	1	0.4450848	0.5549152
269	0	1	0.4450158	0.5549842
270	0	0	0.4449472	-0.4449472
271	0	0	0.444879	-0.444879
272	0	2	0.4448111	1.099685
273	0	1	0.4447437	0.5552564
274	0	0	0.4446766	-0.4446766
275	0	0	0.4446099	-0.4446099
276	0	1	0.4445435	0.5554565
277	0	1	0.4513637	0.5486363
278	1	0	0.4755389	-0.4755389
279	0	1	0.4752997	0.5247003
280	0	2	0.481948	1.073425
281	1	0	0.5059523	-0.5059523
282	0	2	0.5055432	1.056741
283	0	1	0.5051363	0.4948637
284	0	1	0.5047318	0.4952682
285	0	0	0.5043294	-0.5043294
286	0	0	0.5039294	-0.5039294
287	0	3	0.5035315	1.441337
288	0	0	0.5031359	-0.5031359
289	0	1	0.5027425	0.4972575
290	0	0	0.5023513	-0.5023513
291	0	0	0.5019623	-0.5019623
292	0	0	0.5015755	-0.5015755
293	0	0	0.5011908	-0.5011908
294	0	1	0.5008083	0.4991917
295	0	0	0.5004279	-0.5004279
296	0	2	0.5000496	1.060625
297	0	0	0.4996735	-0.4996735
298	0	0	0.4992994	-0.4992994
299	0	0	0.4989274	-0.4989274
300	0	1	0.4985576	0.5014424
301	0	2	0.4981897	1.06194
302	0	1	0.497824	0.502176
303	0	1	0.4974603	0.5025398
304	0	1	0.4970986	0.5029014
305	0	0	0.4967389	-0.4967389
306	0	1	0.4963813	0.5036187
307	0	0	0.4960257	-0.4960257
308	0	2	0.495672	1.063721
309	0	1	0.4953203	0.5046797
310	0	0	0.4949706	-0.4949706
311	0	0	0.4946228	-0.4946228
312	0	1	0.494277	0.505723
313	0	0	0.4939331	-0.4939331
314	0	0	0.4935911	-0.4935911
315	0	1	0.493251	0.506749
316	0	3	0.4929129	1.447467
317	0	0	0.4994628	-0.4994628
318	1	0	0.5233692	-0.5233692
319	0	1	0.5228627	0.4771373
320	0	1	0.5223591	0.4776409
321	0	1	0.5218583	0.4781417
322	0	1	0.5213602	0.4786398
323	0	2	0.520865	1.045906
324	0	0	0.5203725	-0.5203725
325	0	0	0.5198828	-0.5198828
326	0	2	0.5193958	1.046945
327	0	0	0.5189116	-0.5189116
328	0	1	0.51843	0.48157
329	0	0	0.5179511	-0.5179511
330	0	2	0.5174749	1.048303
331	0	0	0.5170015	-0.5170015
332	0	1	0.5165306	0.4834694
333	0	0	0.5160623	-0.5160623
334	0	0	0.5155967	-0.5155967
335	0	1	0.5151336	0.4848664
336	0	1	0.5146732	0.4853268
337	0	0	0.5142154	-0.5142154
338	0	1	0.51376	0.48624
339	0	0	0.5133073	-0.5133073
340	0	1	0.512857	0.487143
341	0	0	0.5192955	-0.5192955
342	1	0	0.5430911	-0.5430911
343	0	1	0.5493605	0.4506395
344	1	0	0.5798743	-0.5798743
345	1	0	0.6102175	-0.6102175
346	1	0	0.633505	-0.633505
347	0	2	0.6392692	0.9621819
348	1	1	0.6866599	0.3133401
349	3	0	0.7863724	-0.7863724
350	2	1	0.8461998	0.1538002
351	1	1	0.8750547	0.1249453
352	1	0	0.9471968	-0.9471968
353	6	2	1.146057	0.6038285
354	3	1	1.260582	-0.2605822
355	4	2	1.405105	0.4206543
356	4	3	1.531441	0.8478731
357	2	0	1.587105	-1.587105
358	1	2	1.629199	0.2621961
359	3	2	1.741023	0.1831241
360	4	1	1.865482	-0.865482
361	2	1	1.936659	-0.9366587
362	3	1	2.029386	-1.029386
363	2	0	2.075381	-2.075381
364	0	0	2.073088	-2.073088
365	1	2	2.095087	-6.723636E-02
366	1	1	2.134342	-1.134342
367	3	1	2.225965	-1.225965
368	2	1	2.270861	-1.270861
369	0	0	2.319614	-2.319614
370	7	2	2.541443	-0.3828583
371	3	2	2.700308	-0.4951928
372	10	3	3.037994	-2.193593E-02
373	6	1	3.312068	-2.312068
374	13	3	3.842525	-0.4864323
375	18	2	4.445002	-1.728878
376	9	2	4.855266	-2.018978
377	19	7	5.682584	0.4979365
378	32	2	6.860126	-3.436628
379	27	4	8.025622	-2.012811
380	44	5	9.731524	-2.116002
381	47	4	11.62408	-3.812041
382	59	7	14.08227	-2.676848
383	83	8	17.46191	-3.34529
384	106	12	21.53602	-2.752813
385	107	8	25.96559	-6.351797
386	147	9	31.50035	-7.500118
387	136	20	36.51075	-3.691916
