Calculated using 1 exponential

Prompt data : Prompt
Decay data : q0.03

The initial parameters are:

 Shift Value = 0 ch
               0 sec
 Shift Limit = 600 ch
               3.292181E-08 sec

 T1 Estimate = 109.2598 ch
               5.995052E-09 sec

 A Free
 B1 Free

 Prompt and decay LO = 2 ch
                       1.097394E-10 sec
 Prompt and decay HI = 4096 ch
                       2.247462E-07 sec

 Background on prompt = 0.2075472
 Time calibration = 5.486969E-11 sec/ch
---------------------------------------------
The fitted parameters are:

 Hi reduced to: 3496 ch

 SHIFT = 4.751914 ch
         2.60736E-10 sec
         S.Dev = 5.241632E-12 sec

 T1 = 130.9911 ch
      7.187443E-09 sec
      S.Dev = 2.026599E-11 sec

 A  = 0.2657596
      S.Dev = 2.002454E-02

 B1 = 4.630987E-02
      [100.00 Rel.Ampl]
      S.Dev = 1.232201E-04

 CHISQ = 0.9088069
 [ 3491 degrees of freedom ]

 Chi-squared Probability =   99.99564%
 Durbin-Watson Parameter =   1.278126
 Negative residuals      =   55.13591%
 Residuals < 1 s.dev     =   81.71674%
 Residuals < 2 s.dev     =   97.11016%
 Residuals < 3 s.dev     =   98.91273%
 Residuals < 4 s.dev     =   99.25608%


Chan	Prompt	Decay	Fit	Residuals
2	0	2	0.2657596	1.226293
3	0	1	0.2657596	0.7342404
4	0	0	0.2657596	-0.2657596
5	0	1	0.2657596	0.7342404
6	0	0	0.2657596	-0.2657596
7	0	0	0.2657596	-0.2657596
8	0	0	0.2657596	-0.2657596
9	0	0	0.2657596	-0.2657596
10	0	0	0.2657596	-0.2657596
11	0	0	0.2657596	-0.2657596
12	0	1	0.2657596	0.7342404
13	0	0	0.2657596	-0.2657596
14	0	0	0.2657596	-0.2657596
15	0	2	0.2657596	1.226293
16	0	0	0.2657596	-0.2657596
17	0	1	0.2657596	0.7342404
18	0	0	0.2657596	-0.2657596
19	0	0	0.2657596	-0.2657596
20	0	2	0.2657596	1.226293
21	0	0	0.2657596	-0.2657596
22	0	1	0.2657596	0.7342404
23	0	1	0.2657596	0.7342404
24	0	0	0.2657596	-0.2657596
25	0	1	0.2657596	0.7342404
26	0	1	0.2657596	0.7342404
27	0	0	0.2657596	-0.2657596
28	0	0	0.2657596	-0.2657596
29	0	0	0.2657596	-0.2657596
30	0	0	0.2657596	-0.2657596
31	0	0	0.2657596	-0.2657596
32	0	1	0.2657596	0.7342404
33	0	0	0.2657596	-0.2657596
34	0	0	0.2657596	-0.2657596
35	0	1	0.2657596	0.7342404
36	0	0	0.2657596	-0.2657596
37	0	1	0.2657596	0.7342404
38	0	0	0.2657596	-0.2657596
39	0	0	0.2657596	-0.2657596
40	0	0	0.2657596	-0.2657596
41	0	0	0.2657596	-0.2657596
42	0	0	0.2657596	-0.2657596
43	0	0	0.2657596	-0.2657596
44	0	1	0.2657596	0.7342404
45	0	0	0.2657596	-0.2657596
46	0	1	0.2657596	0.7342404
47	0	3	0.2657596	1.578614
48	0	0	0.2657596	-0.2657596
49	0	1	0.2657596	0.7342404
50	0	0	0.2657596	-0.2657596
51	0	0	0.2657596	-0.2657596
52	0	0	0.2657596	-0.2657596
53	0	1	0.2657596	0.7342404
54	0	0	0.2657596	-0.2657596
55	0	0	0.2657596	-0.2657596
56	0	0	0.2657596	-0.2657596
57	0	0	0.2657596	-0.2657596
58	0	0	0.2657596	-0.2657596
59	0	1	0.2657596	0.7342404
60	0	0	0.2657596	-0.2657596
61	0	0	0.2657596	-0.2657596
62	0	1	0.2657596	0.7342404
63	0	0	0.2657596	-0.2657596
64	0	0	0.2657596	-0.2657596
65	0	0	0.2657596	-0.2657596
66	0	1	0.2657596	0.7342404
67	0	0	0.2657596	-0.2657596
68	0	0	0.2657596	-0.2657596
69	0	0	0.2657596	-0.2657596
70	0	0	0.2657596	-0.2657596
71	0	0	0.2657596	-0.2657596
72	0	1	0.2657596	0.7342404
73	0	1	0.2657596	0.7342404
74	0	0	0.2657596	-0.2657596
75	0	1	0.2657596	0.7342404
76	0	1	0.2657596	0.7342404
77	0	0	0.2657596	-0.2657596
78	0	0	0.2657596	-0.2657596
79	0	0	0.2657596	-0.2657596
80	0	0	0.2657596	-0.2657596
81	0	1	0.2657596	0.7342404
82	0	1	0.2657596	0.7342404
83	0	1	0.2657596	0.7342404
84	0	1	0.2657596	0.7342404
85	0	1	0.2657596	0.7342404
86	0	0	0.2657596	-0.2657596
87	0	0	0.2657596	-0.2657596
88	0	0	0.2657596	-0.2657596
89	0	0	0.2657596	-0.2657596
90	0	2	0.2657596	1.226293
91	0	0	0.2657596	-0.2657596
92	0	0	0.2657596	-0.2657596
93	0	0	0.2657596	-0.2657596
94	0	0	0.2657596	-0.2657596
95	0	0	0.2657596	-0.2657596
96	0	1	0.2657596	0.7342404
97	0	0	0.2657596	-0.2657596
98	0	0	0.2657596	-0.2657596
99	0	0	0.2657596	-0.2657596
100	0	1	0.2657596	0.7342404
101	0	0	0.2657596	-0.2657596
102	0	0	0.2657596	-0.2657596
103	1	1	0.2657596	0.7342404
104	0	0	0.2657596	-0.2657596
105	0	1	0.2657596	0.7342404
106	0	0	0.2657596	-0.2657596
107	0	0	0.2747947	-0.2747947
108	0	0	0.3021102	-0.3021102
109	0	0	0.3018337	-0.3018337
110	0	0	0.3015594	-0.3015594
111	0	1	0.3012871	0.6987129
112	0	0	0.3010169	-0.3010169
113	0	1	0.3007488	0.6992512
114	0	0	0.3004827	-0.3004827
115	0	1	0.3002186	0.6997814
116	0	0	0.2999566	-0.2999566
117	0	0	0.2996965	-0.2996965
118	0	0	0.2994384	-0.2994384
119	0	0	0.2991823	-0.2991823
120	0	0	0.2989281	-0.2989281
121	0	1	0.2986759	0.7013241
122	0	0	0.2984255	-0.2984255
123	0	0	0.2981771	-0.2981771
124	0	0	0.2979306	-0.2979306
125	0	0	0.2976859	-0.2976859
126	0	0	0.2974431	-0.2974431
127	0	1	0.2972022	0.7027978
128	0	1	0.296963	0.703037
129	0	1	0.2967257	0.7032743
130	0	0	0.2964902	-0.2964902
131	0	0	0.2962565	-0.2962565
132	0	1	0.2960246	0.7039754
133	0	0	0.2957944	-0.2957944
134	0	1	0.295566	0.704434
135	0	0	0.2953393	-0.2953393
136	0	0	0.2951144	-0.2951144
137	0	1	0.2948911	0.7051089
138	0	1	0.2946696	0.7053304
139	0	0	0.2944497	-0.2944497
140	0	0	0.2942315	-0.2942315
141	0	0	0.294015	-0.294015
142	0	0	0.2938001	-0.2938001
143	0	1	0.2935869	0.7064131
144	0	2	0.2933753	1.206766
145	0	0	0.2931652	-0.2931652
146	0	0	0.2929568	-0.2929568
147	0	0	0.29275	-0.29275
148	0	0	0.2925447	-0.2925447
149	0	0	0.292341	-0.292341
150	0	0	0.2921389	-0.2921389
151	0	0	0.2919382	-0.2919382
152	0	0	0.2917392	-0.2917392
153	0	0	0.2915416	-0.2915416
154	0	0	0.2913455	-0.2913455
155	0	0	0.2911509	-0.2911509
156	0	2	0.2909578	1.208475
157	0	1	0.2907662	0.7092338
158	0	0	0.290576	-0.290576
159	0	1	0.2903873	0.7096127
160	0	1	0.2902	0.7098
161	0	0	0.2900141	-0.2900141
162	0	1	0.2898297	0.7101703
163	0	0	0.2896466	-0.2896466
164	0	0	0.289465	-0.289465
165	0	0	0.2892847	-0.2892847
166	0	0	0.2891058	-0.2891058
167	0	1	0.2889282	0.7110717
168	0	0	0.288752	-0.288752
169	0	0	0.2885772	-0.2885772
170	0	0	0.2884036	-0.2884036
171	0	0	0.2882314	-0.2882314
172	0	1	0.2880605	0.7119395
173	0	0	0.2878909	-0.2878909
174	0	0	0.2877226	-0.2877226
175	0	0	0.2875556	-0.2875556
176	0	0	0.2873898	-0.2873898
177	0	0	0.2872253	-0.2872253
178	0	0	0.2870621	-0.2870621
179	0	0	0.2869001	-0.2869001
180	0	0	0.2867393	-0.2867393
181	0	0	0.2865798	-0.2865798
182	0	0	0.2864214	-0.2864214
183	0	0	0.2862643	-0.2862643
184	0	0	0.2861083	-0.2861083
185	0	0	0.2859536	-0.2859536
186	0	0	0.2858	-0.2858
187	0	1	0.2856476	0.7143524
188	0	2	0.2854964	1.212337
189	0	0	0.2853463	-0.2853463
190	0	0	0.2851973	-0.2851973
191	0	0	0.2850495	-0.2850495
192	0	1	0.2849028	0.7150972
193	0	0	0.2847572	-0.2847572
194	0	0	0.2846127	-0.2846127
195	0	0	0.2844693	-0.2844693
196	0	0	0.2843271	-0.2843271
197	0	0	0.2841859	-0.2841859
198	0	1	0.2840457	0.7159543
199	0	1	0.2839067	0.7160933
200	0	0	0.2837687	-0.2837687
201	0	1	0.2836317	0.7163683
202	0	0	0.2834958	-0.2834958
203	0	1	0.2833609	0.7166391
204	0	0	0.283227	-0.283227
205	0	0	0.2830942	-0.2830942
206	0	0	0.2829624	-0.2829624
207	0	0	0.2828315	-0.2828315
208	0	0	0.2827017	-0.2827017
209	0	1	0.2825729	0.7174271
210	0	0	0.282445	-0.282445
211	0	0	0.2823181	-0.2823181
212	0	0	0.2821922	-0.2821922
213	0	0	0.2820672	-0.2820672
214	0	1	0.2819432	0.7180568
215	0	0	0.2818201	-0.2818201
216	0	1	0.281698	0.718302
217	0	0	0.2815768	-0.2815768
218	0	1	0.2814565	0.7185435
219	0	0	0.2813371	-0.2813371
220	0	0	0.2812186	-0.2812186
221	0	0	0.281101	-0.281101
222	0	1	0.2809844	0.7190156
223	0	0	0.2808686	-0.2808686
224	0	0	0.2807537	-0.2807537
225	0	1	0.2806396	0.7193604
226	0	1	0.2805265	0.7194735
227	0	0	0.2804142	-0.2804142
228	0	0	0.2803027	-0.2803027
229	0	1	0.2801921	0.7198079
230	0	1	0.2800824	0.7199177
231	0	1	0.2799734	0.7200266
232	0	0	0.2798654	-0.2798654
233	0	0	0.2797581	-0.2797581
234	0	0	0.2796516	-0.2796516
235	0	0	0.279546	-0.279546
236	0	1	0.2794411	0.7205589
237	0	0	0.2793371	-0.2793371
238	0	0	0.2792338	-0.2792338
239	0	1	0.2791314	0.7208686
240	0	0	0.2790297	-0.2790297
241	0	0	0.2789288	-0.2789288
242	0	0	0.2788286	-0.2788286
243	0	0	0.2787292	-0.2787292
244	0	0	0.2786306	-0.2786306
245	0	1	0.2785327	0.7214673
246	0	0	0.2784356	-0.2784356
247	0	0	0.2783391	-0.2783391
248	0	0	0.2782435	-0.2782435
249	0	0	0.2781485	-0.2781485
250	0	0	0.2780543	-0.2780543
251	0	0	0.2779608	-0.2779608
252	0	0	0.277868	-0.277868
253	0	1	0.2777759	0.7222241
254	0	1	0.2776846	0.7223154
255	0	0	0.2775939	-0.2775939
256	0	0	0.2775039	-0.2775039
257	0	0	0.2774146	-0.2774146
258	0	2	0.2773259	1.218114
259	0	0	0.277238	-0.277238
260	0	1	0.2771507	0.7228494
261	0	0	0.277064	-0.277064
262	0	0	0.2769781	-0.2769781
263	0	0	0.2768928	-0.2768928
264	0	0	0.2768081	-0.2768081
265	0	0	0.276724	-0.276724
266	0	2	0.2766407	1.218599
267	0	0	0.2765579	-0.2765579
268	0	0	0.2764758	-0.2764758
269	0	1	0.2763943	0.7236057
270	0	0	0.2763134	-0.2763134
271	0	0	0.2762332	-0.2762332
272	0	2	0.2761535	1.218944
273	0	0	0.2760745	-0.2760745
274	0	1	0.275996	0.724004
275	0	0	0.2759182	-0.2759182
276	0	1	0.2758409	0.7241591
277	0	0	0.2757643	-0.2757643
278	1	1	0.2756882	0.7243118
279	0	0	0.2756127	-0.2756127
280	0	0	0.2755377	-0.2755377
281	1	0	0.2754633	-0.2754633
282	0	0	0.2844247	-0.2844247
283	0	0	0.3116669	-0.3116669
284	0	0	0.3113178	-0.3113178
285	0	1	0.3200064	0.6799936
286	0	1	0.3469781	0.6530219
287	0	0	0.3463604	-0.3463604
288	0	0	0.3457474	-0.3457474
289	0	0	0.3451391	-0.3451391
290	0	0	0.3445354	-0.3445354
291	0	0	0.3439364	-0.3439364
292	0	0	0.3433418	-0.3433418
293	0	0	0.3427518	-0.3427518
294	0	0	0.3421663	-0.3421663
295	0	2	0.3415852	1.172676
296	0	1	0.3410085	0.6589915
297	0	0	0.3404363	-0.3404363
298	0	0	0.3398684	-0.3398684
299	0	0	0.3393047	-0.3393047
300	0	0	0.3387454	-0.3387454
301	0	0	0.3381904	-0.3381904
302	0	0	0.3376395	-0.3376395
303	0	0	0.3370929	-0.3370929
304	0	0	0.3365504	-0.3365504
305	0	0	0.336012	-0.336012
306	0	0	0.3354778	-0.3354778
307	0	0	0.3349476	-0.3349476
308	0	0	0.3344214	-0.3344214
309	0	1	0.3338992	0.6661007
310	0	1	0.333381	0.6666189
311	0	0	0.3328668	-0.3328668
312	0	0	0.3323564	-0.3323564
313	0	1	0.3318499	0.6681501
314	0	0	0.3313473	-0.3313473
315	0	1	0.3308485	0.6691515
316	0	0	0.3303535	-0.3303535
317	0	1	0.3298623	0.6701378
318	1	0	0.3293748	-0.3293748
319	0	2	0.328891	1.181653
320	0	1	0.3284109	0.6715891
321	0	0	0.3279344	-0.3279344
322	0	1	0.3364967	0.6635033
323	0	0	0.3633429	-0.3633429
324	0	1	0.3626008	0.6373992
325	0	1	0.3618643	0.6381357
326	0	0	0.3611334	-0.3611334
327	0	0	0.3604081	-0.3604081
328	0	0	0.3596883	-0.3596883
329	0	0	0.358974	-0.358974
330	0	1	0.3582651	0.6417349
331	0	2	0.3575616	1.161379
332	0	3	0.3568634	1.526016
333	0	0	0.3561706	-0.3561706
334	0	0	0.355483	-0.355483
335	0	0	0.3548006	-0.3548006
336	0	2	0.3541235	1.16381
337	0	1	0.3534515	0.6465485
338	0	1	0.3527846	0.6472154
339	0	0	0.3521228	-0.3521228
340	0	0	0.351466	-0.351466
341	0	0	0.3508142	-0.3508142
342	1	1	0.3501673	0.6498327
343	0	0	0.3495254	-0.3495254
344	1	0	0.3488884	-0.3488884
345	1	1	0.3482562	0.6517438
346	1	0	0.3566639	-0.3566639
347	0	0	0.3833568	-0.3833568
348	1	1	0.3914975	0.6085025
349	3	2	0.4269606	1.112307
350	2	1	0.4621539	0.5378461
351	1	0	0.4880445	-0.4880445
352	1	0	0.4953892	-0.4953892
353	6	1	0.5528651	0.4471349
354	3	1	0.6676148	0.3323852
355	4	0	0.7355343	-0.7355343
356	4	0	0.7683809	-0.7683809
357	2	2	0.8579851	0.8075265
358	1	0	1.085485	-1.085485
359	3	2	1.218987	0.5522597
360	4	0	1.38603	-1.38603
361	2	0	1.529	-1.529
362	3	1	1.590368	-0.5903683
363	2	0	1.639517	-1.639517
364	0	0	1.768805	-1.768805
365	1	1	1.908864	-0.9088643
366	1	1	1.990147	-0.990147
367	3	2	2.093966	-6.644417E-02
368	2	0	2.142003	-2.142003
369	0	2	2.136769	-9.671032E-02
370	7	1	2.15896	-1.15896
371	3	4	2.203784	0.898108
372	10	2	2.305979	-0.2163595
373	6	2	2.352403	-0.2491867
374	13	5	2.413978	1.156504
375	18	0	2.664201	-2.664201
376	9	1	2.854105	-1.854105
377	19	3	3.238854	-0.1379022
378	32	0	3.562261	-3.562261
379	27	4	4.18211	-9.105492E-02
380	44	3	4.867413	-1.078151
381	47	1	5.350513	-4.350513
382	59	1	6.32372	-5.32372
383	83	3	7.681749	-2.703009
384	106	4	9.050494	-2.525247
385	107	5	11.03049	-2.696918
386	147	2	13.23591	-7.944991
387	136	16	16.11287	-2.821875E-02
388	118	13	20.05954	-1.957965
389	152	8	24.78238	-5.933469
390	178	15	29.95993	-3.862637
391	161	12	36.35493	-7.030662
392	187	14	42.11595	-7.514304
393	198	18	47.5988	-6.976503
394	233	19	54.5113	-8.146851
395	242	35	62.07587	-4.576657
396	254	30	69.29189	-7.173684
397	303	45	77.47691	-4.841372
398	309	46	86.37885	-5.953537
399	386	59	96.52517	-4.885361
400	450	95	107.0422	-1.235499
401	516	98	118.4525	-2.066014
402	606	104	131.5378	-2.700299
403	694	130	145.6087	-1.368974
404	818	178	162.9632	1.127056
405	822	194	183.1498	0.7789982
406	945	260	206.4897	3.318566
407	932	239	233.7655	0.3385885
408	1007	331	265.2887	3.611822
409	1057	404	300.9026	5.129286
410	998	417	337.7863	3.879111
411	986	528	378.4917	6.506513
412	974	610	419.2934	7.721483
413	1020	668	462.9467	7.933752
414	1023	629	507.3231	4.851577
415	990	669	549.1863	4.632264
416	873	773	590.1797	6.57559
417	767	782	630.9711	5.400784
418	643	862	673.076	6.434775
419	591	875	714.5883	5.422907
420	528	974	753.3104	7.07135
421	423	920	786.4865	4.401811
422	355	963	814.3336	4.790709
423	314	959	837.0909	3.936649
424	260	934	857.16	2.514281
425	193	843	873.7023	-1.057444
426	185	856	885.7151	-1.015643
427	137	954	894.8193	1.916047
428	103	948	901.8217	1.499803
429	77	1000	906.141	2.968082
430	70	983	908.0209	2.391463
431	53	947	909.0627	1.232795
432	50	897	908.0504	-0.3689606
433	26	919	905.5744	0.4428696
434	30	954	902.1389	1.679067
435	21	889	898.2939	-0.3117069
436	16	907	893.8564	0.4364246
437	12	942	889.0753	1.724379
438	10	906	883.5469	0.7459531
439	9	870	878.0962	-0.2744866
440	16	904	872.3188	1.053699
441	9	901	866.367	1.153792
442	11	902	860.2994	1.388477
443	14	914	854.1975	1.978091
444	11	831	848.1873	-0.5962193
445	4	884	842.3848	1.399672
446	7	878	836.4073	1.403684
447	17	847	830.5786	0.5642455
448	4	805	824.8638	-0.7001059
449	8	834	819.0089	0.5191011
450	4	803	812.9908	-0.3525693
451	3	782	807.2362	-0.9024449
452	2	824	801.7228	0.7760638
453	5	791	795.8476	-0.1723606
454	5	773	790.1097	-0.6153924
455	4	823	784.2659	1.350187
456	3	769	778.4205	-0.3397131
