Calculated using 1 exponential

Prompt data : Prompt
Decay data : q0.05

The initial parameters are:

 Shift Value = 0 ch
               0 sec
 Shift Limit = 600 ch
               3.292181E-08 sec

 T1 Estimate = 111.0101 ch
               6.091091E-09 sec

 A Free
 B1 Free

 Prompt and decay LO = 2 ch
                       1.097394E-10 sec
 Prompt and decay HI = 4096 ch
                       2.247462E-07 sec

 Background on prompt = 0.2075472
 Time calibration = 5.486969E-11 sec/ch
---------------------------------------------
The fitted parameters are:

 Hi reduced to: 3496 ch

 SHIFT = 2.680591 ch
         1.470832E-10 sec
         S.Dev = 5.093841E-12 sec

 T1 = 64.30193 ch
      3.528226E-09 sec
      S.Dev = 1.470783E-11 sec

 A  = 0.4695446
      S.Dev = 1.893519E-02

 B1 = 5.055552E-02
      [100.00 Rel.Ampl]
      S.Dev = 1.839923E-04

 CHISQ = 0.8963885
 [ 3491 degrees of freedom ]

 Chi-squared Probability =   99.99963%
 Durbin-Watson Parameter =   1.103027
 Negative residuals      =   49.44206%
 Residuals < 1 s.dev     =   81.60229%
 Residuals < 2 s.dev     =   97.48212%
 Residuals < 3 s.dev     =   98.91273%
 Residuals < 4 s.dev     =   99.14163%


Chan	Prompt	Decay	Fit	Residuals
141	0	0	0.4923193	-0.4923193
142	0	0	0.4919678	-0.4919678
143	0	2	0.4916218	1.066584
144	0	0	0.4912811	-0.4912811
145	0	1	0.4909457	0.5090543
146	0	0	0.4906154	-0.4906154
147	0	0	0.4902903	-0.4902903
148	0	0	0.4899701	-0.4899701
149	0	0	0.489655	-0.489655
150	0	1	0.4893446	0.5106554
151	0	0	0.4890391	-0.4890391
152	0	1	0.4887382	0.5112618
153	0	0	0.4884421	-0.4884421
154	0	2	0.4881504	1.069039
155	0	1	0.4878633	0.5121367
156	0	0	0.4875807	-0.4875807
157	0	0	0.4873023	-0.4873023
158	0	1	0.4870283	0.5129717
159	0	0	0.4867585	-0.4867585
160	0	1	0.4864929	0.5135071
161	0	0	0.4862313	-0.4862313
162	0	2	0.4859738	1.070578
163	0	0	0.4857203	-0.4857203
164	0	2	0.4854707	1.070934
165	0	1	0.4852249	0.514775
166	0	2	0.484983	1.071279
167	0	0	0.4847447	-0.4847447
168	0	0	0.4845102	-0.4845102
169	0	0	0.4842792	-0.4842792
170	0	0	0.4840519	-0.4840519
171	0	0	0.483828	-0.483828
172	0	3	0.4836076	1.45284
173	0	1	0.4833906	0.5166094
174	0	0	0.4831769	-0.4831769
175	0	0	0.4829665	-0.4829665
176	0	0	0.4827594	-0.4827594
177	0	1	0.4825555	0.5174445
178	0	0	0.4823547	-0.4823547
179	0	0	0.4821571	-0.4821571
180	0	1	0.4819624	0.5180376
181	0	0	0.4817708	-0.4817708
182	0	2	0.4815821	1.073684
183	0	0	0.4813964	-0.4813964
